category,title,summary,url
Media Coverage,Portland Mayor Wilson’s shelter plan received with skepticism at neighborhood forum,,https://www.opb.org/article/2025/07/29/portland-mayor-wilson-homelessness-plan-skeptics-neighborhood-forum/
Media Coverage,Oregon Harbor of Hope and Art Inside Out featured on KATU-TV,,https://www.youtube.com/@OregonHarborofHope
Media Coverage,What Happened When Portland Decriminalized Fentanyl,,https://www.rollingstone.com/culture/culture-features/portland-fentanyl-legalized-overdose-crisis-1235323248/
Media Coverage,A Call for Clarity: Why This Moment Demands Our Attention,,https://www.pdxvoice.org/reports/a-flood-of-money-a-dysfunctional-system
Media Coverage,Oregon Harbor of Hope and their Better Neighbors Program,,https://katu.com/amp/amnw/am-northwest-lifestyle-health/oregon-harbor-of-hope-their-better-neighbors-program
Media Coverage,Portland Mayor: It's Time To End the Ideological Divide on Homelessness | Opinion,,https://www.newsweek.com/portland-mayor-its-time-end-ideological-divide-homelessness-opinion-2087660
Media Coverage,Bringing Portland Back From the Brink,,https://www.naiop.org/research-and-publications/magazine/2025/summer-2025/business-trends/bringing-portland-back-from-the-brink/?utm_source=chatgpt.com
Media Coverage,"SF Homeless Tents Plummet 85%: From 1,108 to just 165 in 5 Years",,https://hoodline.com/2025/07/sf-homeless-tents-plummet-85-from-1-108-to-just-165-in-5-years/
Media Coverage,Partnership for Progress,,https://mailchi.mp/partner4progress/rethinking_portland_tax_narrative
Media Coverage,“No Place to Grow Old” Interviews Senior Citizens Living on Portland’s Streets,,https://www.wweek.com/arts/movies/2025/07/15/no-place-to-grow-old-interviews-senior-citizens-living-on-portlands-streets/
